Species,Duplication,Classification,Number,PhyloOrder
Crubella,dispersed,gbM-gbM,280,18
Crubella,proximal,gbM-gbM,39,18
Crubella,tandem,gbM-gbM,105,18
Crubella,transposed,gbM-gbM,176,18
Crubella,wgd,gbM-gbM,523,18
Crubella,dispersed,gbM-teM,43,18
Crubella,proximal,gbM-teM,20,18
Crubella,tandem,gbM-teM,33,18
Crubella,transposed,gbM-teM,50,18
Crubella,wgd,gbM-teM,25,18
Crubella,dispersed,gbM-Unclassified,188,18
Crubella,proximal,gbM-Unclassified,25,18
Crubella,tandem,gbM-Unclassified,70,18
Crubella,transposed,gbM-Unclassified,124,18
Crubella,wgd,gbM-Unclassified,321,18
Crubella,dispersed,gbM-unM,303,18
Crubella,proximal,gbM-unM,49,18
Crubella,tandem,gbM-unM,137,18
Crubella,transposed,gbM-unM,263,18
Crubella,wgd,gbM-unM,333,18
Crubella,dispersed,teM-teM,168,18
Crubella,proximal,teM-teM,90,18
Crubella,tandem,teM-teM,126,18
Crubella,transposed,teM-teM,136,18
Crubella,wgd,teM-teM,54,18
Crubella,dispersed,teM-Unclassified,25,18
Crubella,proximal,teM-Unclassified,17,18
Crubella,tandem,teM-Unclassified,44,18
Crubella,transposed,teM-Unclassified,18,18
Crubella,wgd,teM-Unclassified,11,18
Crubella,dispersed,Unclassified-Unclassified,86,18
Crubella,proximal,Unclassified-Unclassified,19,18
Crubella,tandem,Unclassified-Unclassified,64,18
Crubella,transposed,Unclassified-Unclassified,61,18
Crubella,wgd,Unclassified-Unclassified,200,18
Crubella,dispersed,unM-teM,103,18
Crubella,proximal,unM-teM,36,18
Crubella,tandem,unM-teM,92,18
Crubella,transposed,unM-teM,116,18
Crubella,wgd,unM-teM,60,18
Crubella,dispersed,unM-Unclassified,269,18
Crubella,proximal,unM-Unclassified,76,18
Crubella,tandem,unM-Unclassified,265,18
Crubella,transposed,unM-Unclassified,280,18
Crubella,wgd,unM-Unclassified,446,18
Crubella,dispersed,unM-unM,896,18
Crubella,proximal,unM-unM,278,18
Crubella,tandem,unM-unM,1169,18
Crubella,transposed,unM-unM,911,18
Crubella,wgd,unM-unM,1629,18
