"","row","column","cor","p","sps"
"1","Genes","Genes",1,NA,"Crubella"
"2","TEs","Genes",-0.110056112197821,1.04031450121056e-10,"Crubella"
"3","TE.nucleotidess","Genes",-0.121716101560554,8.65529869997772e-13,"Crubella"
"4","gbM","Genes",0.704170441952545,0,"Crubella"
"5","teM","Genes",0.127059974376024,8.21565038222616e-14,"Crubella"
"6","unM","Genes",0.917421500847912,0,"Crubella"
"7","Unclassified","Genes",0.69297736295299,0,"Crubella"
"8","Genes","TEs",-0.110056112197821,1.04031450121056e-10,"Crubella"
"9","TEs","TEs",1,NA,"Crubella"
"10","TE.nucleotidess","TEs",0.930352759088045,0,"Crubella"
"11","gbM","TEs",-0.0855044934010075,5.34290755638267e-07,"Crubella"
"12","teM","TEs",0.537772760021296,0,"Crubella"
"13","unM","TEs",-0.223164020939531,0,"Crubella"
"14","Unclassified","TEs",-0.0383641746990869,0.0246914230987452,"Crubella"
"15","Genes","TE.nucleotidess",-0.121716101560554,8.65529869997772e-13,"Crubella"
"16","TEs","TE.nucleotidess",0.930352759088045,0,"Crubella"
"17","TE.nucleotidess","TE.nucleotidess",1,NA,"Crubella"
"18","gbM","TE.nucleotidess",-0.105075595653179,6.96338098293836e-10,"Crubella"
"19","teM","TE.nucleotidess",0.500437517359202,0,"Crubella"
"20","unM","TE.nucleotidess",-0.216565616518677,0,"Crubella"
"21","Unclassified","TE.nucleotidess",-0.0564173922186453,0.000951064960743597,"Crubella"
"22","Genes","gbM",0.704170441952545,0,"Crubella"
"23","TEs","gbM",-0.0855044934010075,5.34290755638267e-07,"Crubella"
"24","TE.nucleotidess","gbM",-0.105075595653179,6.96338098293836e-10,"Crubella"
"25","gbM","gbM",1,NA,"Crubella"
"26","teM","gbM",0.0424605749158017,0.0129099395854191,"Crubella"
"27","unM","gbM",0.482780914356181,0,"Crubella"
"28","Unclassified","gbM",0.43051843998824,0,"Crubella"
"29","Genes","teM",0.127059974376024,8.21565038222616e-14,"Crubella"
"30","TEs","teM",0.537772760021296,0,"Crubella"
"31","TE.nucleotidess","teM",0.500437517359202,0,"Crubella"
"32","gbM","teM",0.0424605749158017,0.0129099395854191,"Crubella"
"33","teM","teM",1,NA,"Crubella"
"34","unM","teM",-0.089699983904483,1.43627433946136e-07,"Crubella"
"35","Unclassified","teM",0.0620220623600857,0.000279590090896953,"Crubella"
"36","Genes","unM",0.917421500847912,0,"Crubella"
"37","TEs","unM",-0.223164020939531,0,"Crubella"
"38","TE.nucleotidess","unM",-0.216565616518677,0,"Crubella"
"39","gbM","unM",0.482780914356181,0,"Crubella"
"40","teM","unM",-0.089699983904483,1.43627433946136e-07,"Crubella"
"41","unM","unM",1,NA,"Crubella"
"42","Unclassified","unM",0.505119296431351,0,"Crubella"
"43","Genes","Unclassified",0.69297736295299,0,"Crubella"
"44","TEs","Unclassified",-0.0383641746990869,0.0246914230987452,"Crubella"
"45","TE.nucleotidess","Unclassified",-0.0564173922186453,0.000951064960743597,"Crubella"
"46","gbM","Unclassified",0.43051843998824,0,"Crubella"
"47","teM","Unclassified",0.0620220623600857,0.000279590090896953,"Crubella"
"48","unM","Unclassified",0.505119296431351,0,"Crubella"
"49","Unclassified","Unclassified",1,NA,"Crubella"
