"","row","column","cor","p","sps"
"1","Genes","Genes",1,NA,"Cclementina"
"2","TEs","Genes",-0.115222349987798,0,"Cclementina"
"3","TE.nucleotidess","Genes",-0.29932191490645,0,"Cclementina"
"4","gbM","Genes",0.810070119992357,0,"Cclementina"
"5","teM","Genes",0.150543473067282,0,"Cclementina"
"6","unM","Genes",0.852134496118681,0,"Cclementina"
"7","Unclassified","Genes",0.690496866436636,0,"Cclementina"
"8","Genes","TEs",-0.115222349987798,0,"Cclementina"
"9","TEs","TEs",1,NA,"Cclementina"
"10","TE.nucleotidess","TEs",0.886241727993089,0,"Cclementina"
"11","gbM","TEs",-0.15882657941926,0,"Cclementina"
"12","teM","TEs",0.185393946794706,0,"Cclementina"
"13","unM","TEs",-0.0261027772486533,0.0265888708314637,"Cclementina"
"14","Unclassified","TEs",-0.0763343963617088,8.404188456268e-11,"Cclementina"
"15","Genes","TE.nucleotidess",-0.29932191490645,0,"Cclementina"
"16","TEs","TE.nucleotidess",0.886241727993089,0,"Cclementina"
"17","TE.nucleotidess","TE.nucleotidess",1,NA,"Cclementina"
"18","gbM","TE.nucleotidess",-0.313121410758647,0,"Cclementina"
"19","teM","TE.nucleotidess",0.184583669845552,0,"Cclementina"
"20","unM","TE.nucleotidess",-0.191523601693321,0,"Cclementina"
"21","Unclassified","TE.nucleotidess",-0.207126769765609,0,"Cclementina"
"22","Genes","gbM",0.810070119992357,0,"Cclementina"
"23","TEs","gbM",-0.15882657941926,0,"Cclementina"
"24","TE.nucleotidess","gbM",-0.313121410758647,0,"Cclementina"
"25","gbM","gbM",1,NA,"Cclementina"
"26","teM","gbM",-0.0444485772424225,0.000158569879395998,"Cclementina"
"27","unM","gbM",0.475339850506783,0,"Cclementina"
"28","Unclassified","gbM",0.505576308391866,0,"Cclementina"
"29","Genes","teM",0.150543473067282,0,"Cclementina"
"30","TEs","teM",0.185393946794706,0,"Cclementina"
"31","TE.nucleotidess","teM",0.184583669845552,0,"Cclementina"
"32","gbM","teM",-0.0444485772424225,0.000158569879395998,"Cclementina"
"33","teM","teM",1,NA,"Cclementina"
"34","unM","teM",0.0872064148555941,1.15907283770866e-13,"Cclementina"
"35","Unclassified","teM",0.0226450716266118,0.0543948857084109,"Cclementina"
"36","Genes","unM",0.852134496118681,0,"Cclementina"
"37","TEs","unM",-0.0261027772486533,0.0265888708314637,"Cclementina"
"38","TE.nucleotidess","unM",-0.191523601693321,0,"Cclementina"
"39","gbM","unM",0.475339850506783,0,"Cclementina"
"40","teM","unM",0.0872064148555941,1.15907283770866e-13,"Cclementina"
"41","unM","unM",1,NA,"Cclementina"
"42","Unclassified","unM",0.43196387001039,0,"Cclementina"
"43","Genes","Unclassified",0.690496866436636,0,"Cclementina"
"44","TEs","Unclassified",-0.0763343963617088,8.404188456268e-11,"Cclementina"
"45","TE.nucleotidess","Unclassified",-0.207126769765609,0,"Cclementina"
"46","gbM","Unclassified",0.505576308391866,0,"Cclementina"
"47","teM","Unclassified",0.0226450716266118,0.0543948857084109,"Cclementina"
"48","unM","Unclassified",0.43196387001039,0,"Cclementina"
"49","Unclassified","Unclassified",1,NA,"Cclementina"
