"","row","column","cor","p","sps"
"1","Genes","Genes",1,NA,"Cclementina"
"2","TEs","Genes",-0.0201966334579576,0.0862277822593964,"Cclementina"
"3","TE.nucleotidess","Genes",-0.155047133766228,0,"Cclementina"
"4","gbM","Genes",0.57599716144325,0,"Cclementina"
"5","TE.like","Genes",NA,NA,"Cclementina"
"6","Unmethylated","Genes",0.860335157216398,0,"Cclementina"
"7","Unclassified","Genes",0.489210716923186,0,"Cclementina"
"8","Genes","TEs",-0.0201966334579576,0.0862277822593964,"Cclementina"
"9","TEs","TEs",1,NA,"Cclementina"
"10","TE.nucleotidess","TEs",0.886241727993089,0,"Cclementina"
"11","gbM","TEs",-0.0908290224966802,1.06581410364015e-14,"Cclementina"
"12","TE.like","TEs",NA,NA,"Cclementina"
"13","Unmethylated","TEs",0.0376915279215966,0.00136198231375451,"Cclementina"
"14","Unclassified","TEs",-0.00603795978887662,0.608050522669271,"Cclementina"
"15","Genes","TE.nucleotidess",-0.155047133766228,0,"Cclementina"
"16","TEs","TE.nucleotidess",0.886241727993089,0,"Cclementina"
"17","TE.nucleotidess","TE.nucleotidess",1,NA,"Cclementina"
"18","gbM","TE.nucleotidess",-0.205670817126025,0,"Cclementina"
"19","TE.like","TE.nucleotidess",NA,NA,"Cclementina"
"20","Unmethylated","TE.nucleotidess",-0.0879211721884841,7.30526750203353e-14,"Cclementina"
"21","Unclassified","TE.nucleotidess",-0.0922383885287612,3.99680288865056e-15,"Cclementina"
"22","Genes","gbM",0.57599716144325,0,"Cclementina"
"23","TEs","gbM",-0.0908290224966802,1.06581410364015e-14,"Cclementina"
"24","TE.nucleotidess","gbM",-0.205670817126025,0,"Cclementina"
"25","gbM","gbM",1,NA,"Cclementina"
"26","TE.like","gbM",NA,NA,"Cclementina"
"27","Unmethylated","gbM",0.258409447359345,0,"Cclementina"
"28","Unclassified","gbM",0.226233498665416,0,"Cclementina"
"29","Genes","TE.like",NA,NA,"Cclementina"
"30","TEs","TE.like",NA,NA,"Cclementina"
"31","TE.nucleotidess","TE.like",NA,NA,"Cclementina"
"32","gbM","TE.like",NA,NA,"Cclementina"
"33","TE.like","TE.like",1,NA,"Cclementina"
"34","Unmethylated","TE.like",NA,NA,"Cclementina"
"35","Unclassified","TE.like",NA,NA,"Cclementina"
"36","Genes","Unmethylated",0.860335157216398,0,"Cclementina"
"37","TEs","Unmethylated",0.0376915279215966,0.00136198231375451,"Cclementina"
"38","TE.nucleotidess","Unmethylated",-0.0879211721884841,7.30526750203353e-14,"Cclementina"
"39","gbM","Unmethylated",0.258409447359345,0,"Cclementina"
"40","TE.like","Unmethylated",NA,NA,"Cclementina"
"41","Unmethylated","Unmethylated",1,NA,"Cclementina"
"42","Unclassified","Unmethylated",0.23963879442864,0,"Cclementina"
"43","Genes","Unclassified",0.489210716923186,0,"Cclementina"
"44","TEs","Unclassified",-0.00603795978887662,0.608050522669271,"Cclementina"
"45","TE.nucleotidess","Unclassified",-0.0922383885287612,3.99680288865056e-15,"Cclementina"
"46","gbM","Unclassified",0.226233498665416,0,"Cclementina"
"47","TE.like","Unclassified",NA,NA,"Cclementina"
"48","Unmethylated","Unclassified",0.23963879442864,0,"Cclementina"
"49","Unclassified","Unclassified",1,NA,"Cclementina"
