"","row","column","cor","p","sps"
"1","Genes","Genes",1,NA,"Clanatus"
"2","TEs","Genes",-0.719136060294919,0,"Clanatus"
"3","TE.nucleotidess","Genes",-0.774650511312696,0,"Clanatus"
"4","gbM","Genes",0.670644499319002,0,"Clanatus"
"5","teM","Genes",0.245870444313474,0,"Clanatus"
"6","unM","Genes",0.828696616062883,0,"Clanatus"
"7","Unclassified","Genes",0.818573489271721,0,"Clanatus"
"8","Genes","TEs",-0.719136060294919,0,"Clanatus"
"9","TEs","TEs",1,NA,"Clanatus"
"10","TE.nucleotidess","TEs",0.931937745232277,0,"Clanatus"
"11","gbM","TEs",-0.551295050977857,0,"Clanatus"
"12","teM","TEs",-0.129832049722879,0,"Clanatus"
"13","unM","TEs",-0.568892590335485,0,"Clanatus"
"14","Unclassified","TEs",-0.595077453051533,0,"Clanatus"
"15","Genes","TE.nucleotidess",-0.774650511312696,0,"Clanatus"
"16","TEs","TE.nucleotidess",0.931937745232277,0,"Clanatus"
"17","TE.nucleotidess","TE.nucleotidess",1,NA,"Clanatus"
"18","gbM","TE.nucleotidess",-0.604999188679676,0,"Clanatus"
"19","teM","TE.nucleotidess",-0.14895271868531,0,"Clanatus"
"20","unM","TE.nucleotidess",-0.605728530156302,0,"Clanatus"
"21","Unclassified","TE.nucleotidess",-0.650670904398616,0,"Clanatus"
"22","Genes","gbM",0.670644499319002,0,"Clanatus"
"23","TEs","gbM",-0.551295050977857,0,"Clanatus"
"24","TE.nucleotidess","gbM",-0.604999188679676,0,"Clanatus"
"25","gbM","gbM",1,NA,"Clanatus"
"26","teM","gbM",0.0387199424073051,0.000870099598317742,"Clanatus"
"27","unM","gbM",0.362091695601896,0,"Clanatus"
"28","Unclassified","gbM",0.433625486217393,0,"Clanatus"
"29","Genes","teM",0.245870444313474,0,"Clanatus"
"30","TEs","teM",-0.129832049722879,0,"Clanatus"
"31","TE.nucleotidess","teM",-0.14895271868531,0,"Clanatus"
"32","gbM","teM",0.0387199424073051,0.000870099598317742,"Clanatus"
"33","teM","teM",1,NA,"Clanatus"
"34","unM","teM",0.0561034952828851,1.3912440750552e-06,"Clanatus"
"35","Unclassified","teM",0.0626085414621432,7.16877215367617e-08,"Clanatus"
"36","Genes","unM",0.828696616062883,0,"Clanatus"
"37","TEs","unM",-0.568892590335485,0,"Clanatus"
"38","TE.nucleotidess","unM",-0.605728530156302,0,"Clanatus"
"39","gbM","unM",0.362091695601896,0,"Clanatus"
"40","teM","unM",0.0561034952828851,1.3912440750552e-06,"Clanatus"
"41","unM","unM",1,NA,"Clanatus"
"42","Unclassified","unM",0.531875473665168,0,"Clanatus"
"43","Genes","Unclassified",0.818573489271721,0,"Clanatus"
"44","TEs","Unclassified",-0.595077453051533,0,"Clanatus"
"45","TE.nucleotidess","Unclassified",-0.650670904398616,0,"Clanatus"
"46","gbM","Unclassified",0.433625486217393,0,"Clanatus"
"47","teM","Unclassified",0.0626085414621432,7.16877215367617e-08,"Clanatus"
"48","unM","Unclassified",0.531875473665168,0,"Clanatus"
"49","Unclassified","Unclassified",1,NA,"Clanatus"
