Species,Duplication,Classification,Number,PhyloOrder
Mesculenta,dispersed,gbM-gbM,84,24
Mesculenta,proximal,gbM-gbM,15,24
Mesculenta,tandem,gbM-gbM,40,24
Mesculenta,transposed,gbM-gbM,105,24
Mesculenta,wgd,gbM-gbM,766,24
Mesculenta,dispersed,gbM-teM,9,24
Mesculenta,proximal,gbM-teM,2,24
Mesculenta,tandem,gbM-teM,6,24
Mesculenta,transposed,gbM-teM,9,24
Mesculenta,wgd,gbM-teM,20,24
Mesculenta,dispersed,gbM-Unclassified,26,24
Mesculenta,proximal,gbM-Unclassified,10,24
Mesculenta,tandem,gbM-Unclassified,15,24
Mesculenta,transposed,gbM-Unclassified,33,24
Mesculenta,wgd,gbM-Unclassified,221,24
Mesculenta,dispersed,gbM-unM,101,24
Mesculenta,proximal,gbM-unM,28,24
Mesculenta,tandem,gbM-unM,72,24
Mesculenta,transposed,gbM-unM,169,24
Mesculenta,wgd,gbM-unM,674,24
Mesculenta,dispersed,teM-teM,67,24
Mesculenta,proximal,teM-teM,21,24
Mesculenta,tandem,teM-teM,71,24
Mesculenta,transposed,teM-teM,32,24
Mesculenta,wgd,teM-teM,7,24
Mesculenta,dispersed,teM-Unclassified,17,24
Mesculenta,proximal,teM-Unclassified,9,24
Mesculenta,tandem,teM-Unclassified,29,24
Mesculenta,transposed,teM-Unclassified,5,24
Mesculenta,wgd,teM-Unclassified,5,24
Mesculenta,dispersed,Unclassified-Unclassified,17,24
Mesculenta,proximal,Unclassified-Unclassified,10,24
Mesculenta,tandem,Unclassified-Unclassified,8,24
Mesculenta,transposed,Unclassified-Unclassified,17,24
Mesculenta,wgd,Unclassified-Unclassified,139,24
Mesculenta,dispersed,unM-teM,48,24
Mesculenta,proximal,unM-teM,19,24
Mesculenta,tandem,unM-teM,67,24
Mesculenta,transposed,unM-teM,53,24
Mesculenta,wgd,unM-teM,48,24
Mesculenta,dispersed,unM-Unclassified,68,24
Mesculenta,proximal,unM-Unclassified,47,24
Mesculenta,tandem,unM-Unclassified,88,24
Mesculenta,transposed,unM-Unclassified,79,24
Mesculenta,wgd,unM-Unclassified,473,24
Mesculenta,dispersed,unM-unM,497,24
Mesculenta,proximal,unM-unM,332,24
Mesculenta,tandem,unM-unM,1190,24
Mesculenta,transposed,unM-unM,928,24
Mesculenta,wgd,unM-unM,4603,24
