"","row","column","cor","p","sps"
"1","Genes","Genes",1,NA,"Ppersica"
"2","TEs","Genes",-0.42237916671083,0,"Ppersica"
"3","TE.nucleotidess","Genes",-0.592982809331246,0,"Ppersica"
"4","gbM","Genes",0.674446869732683,0,"Ppersica"
"5","teM","Genes",0.0582140006314117,6.44692684297343e-05,"Ppersica"
"6","unM","Genes",0.873849345285898,0,"Ppersica"
"7","Unclassified","Genes",0.673219580108358,0,"Ppersica"
"8","Genes","TEs",-0.42237916671083,0,"Ppersica"
"9","TEs","TEs",1,NA,"Ppersica"
"10","TE.nucleotidess","TEs",0.862620304886033,0,"Ppersica"
"11","gbM","TEs",-0.355900250019381,0,"Ppersica"
"12","teM","TEs",0.00221650633898838,0.879176859935088,"Ppersica"
"13","unM","TEs",-0.3437858029554,0,"Ppersica"
"14","Unclassified","TEs",-0.29444278135676,0,"Ppersica"
"15","Genes","TE.nucleotidess",-0.592982809331246,0,"Ppersica"
"16","TEs","TE.nucleotidess",0.862620304886033,0,"Ppersica"
"17","TE.nucleotidess","TE.nucleotidess",1,NA,"Ppersica"
"18","gbM","TE.nucleotidess",-0.487424746731894,0,"Ppersica"
"19","teM","TE.nucleotidess",0.0708205494391857,1.15545895940095e-06,"Ppersica"
"20","unM","TE.nucleotidess",-0.500940547134728,0,"Ppersica"
"21","Unclassified","TE.nucleotidess",-0.403722716295069,0,"Ppersica"
"22","Genes","gbM",0.674446869732683,0,"Ppersica"
"23","TEs","gbM",-0.355900250019381,0,"Ppersica"
"24","TE.nucleotidess","gbM",-0.487424746731894,0,"Ppersica"
"25","gbM","gbM",1,NA,"Ppersica"
"26","teM","gbM",-0.100549797808398,4.73043826332287e-12,"Ppersica"
"27","unM","gbM",0.377202287647502,0,"Ppersica"
"28","Unclassified","gbM",0.383880307174916,0,"Ppersica"
"29","Genes","teM",0.0582140006314117,6.44692684297343e-05,"Ppersica"
"30","TEs","teM",0.00221650633898838,0.879176859935088,"Ppersica"
"31","TE.nucleotidess","teM",0.0708205494391857,1.15545895940095e-06,"Ppersica"
"32","gbM","teM",-0.100549797808398,4.73043826332287e-12,"Ppersica"
"33","teM","teM",1,NA,"Ppersica"
"34","unM","teM",-0.0801438256076032,3.68568975339656e-08,"Ppersica"
"35","Unclassified","teM",-0.0682652379315849,2.76914815389162e-06,"Ppersica"
"36","Genes","unM",0.873849345285898,0,"Ppersica"
"37","TEs","unM",-0.3437858029554,0,"Ppersica"
"38","TE.nucleotidess","unM",-0.500940547134728,0,"Ppersica"
"39","gbM","unM",0.377202287647502,0,"Ppersica"
"40","teM","unM",-0.0801438256076032,3.68568975339656e-08,"Ppersica"
"41","unM","unM",1,NA,"Ppersica"
"42","Unclassified","unM",0.410077217220514,0,"Ppersica"
"43","Genes","Unclassified",0.673219580108358,0,"Ppersica"
"44","TEs","Unclassified",-0.29444278135676,0,"Ppersica"
"45","TE.nucleotidess","Unclassified",-0.403722716295069,0,"Ppersica"
"46","gbM","Unclassified",0.383880307174916,0,"Ppersica"
"47","teM","Unclassified",-0.0682652379315849,2.76914815389162e-06,"Ppersica"
"48","unM","Unclassified",0.410077217220514,0,"Ppersica"
"49","Unclassified","Unclassified",1,NA,"Ppersica"
