Species,Duplication,Similarity,Number,PhyloOrder
Bvulgaris,dispersed,Different,243,40
Bvulgaris,proximal,Different,59,40
Bvulgaris,tandem,Different,88,40
Bvulgaris,transposed,Different,133,40
Bvulgaris,wgd,Different,20,40
Bvulgaris,dispersed,Same,912,40
Bvulgaris,proximal,Same,140,40
Bvulgaris,tandem,Same,284,40
Bvulgaris,transposed,Same,139,40
Bvulgaris,wgd,Same,47,40
Bvulgaris,dispersed,Undetermined,701,40
Bvulgaris,proximal,Undetermined,141,40
Bvulgaris,tandem,Undetermined,368,40
Bvulgaris,transposed,Undetermined,278,40
Bvulgaris,wgd,Undetermined,119,40
