"","row","column","cor","p","sps"
"1","Genes","Genes",1,NA,"Fxananassa"
"2","TEs","Genes",-0.625322406526497,0,"Fxananassa"
"3","TE.nucleotidess","Genes",-0.738658591146166,0,"Fxananassa"
"4","gbM","Genes",0.313763082014286,0,"Fxananassa"
"5","TE.like","Genes",0.067382350268641,0,"Fxananassa"
"6","Unmethylated","Genes",0.702164981970982,0,"Fxananassa"
"7","Unclassified","Genes",0.41246407010037,0,"Fxananassa"
"8","Genes","TEs",-0.625322406526497,0,"Fxananassa"
"9","TEs","TEs",1,NA,"Fxananassa"
"10","TE.nucleotidess","TEs",0.829932216925112,0,"Fxananassa"
"11","gbM","TEs",-0.322455682753403,0,"Fxananassa"
"12","TE.like","TEs",0.166292841316288,0,"Fxananassa"
"13","Unmethylated","TEs",-0.458288721407621,0,"Fxananassa"
"14","Unclassified","TEs",-0.344116590671558,0,"Fxananassa"
"15","Genes","TE.nucleotidess",-0.738658591146166,0,"Fxananassa"
"16","TEs","TE.nucleotidess",0.829932216925112,0,"Fxananassa"
"17","TE.nucleotidess","TE.nucleotidess",1,NA,"Fxananassa"
"18","gbM","TE.nucleotidess",-0.355518571855964,0,"Fxananassa"
"19","TE.like","TE.nucleotidess",0.0878006774015881,0,"Fxananassa"
"20","Unmethylated","TE.nucleotidess",-0.519392285278361,0,"Fxananassa"
"21","Unclassified","TE.nucleotidess",-0.381804720421718,0,"Fxananassa"
"22","Genes","gbM",0.313763082014286,0,"Fxananassa"
"23","TEs","gbM",-0.322455682753403,0,"Fxananassa"
"24","TE.nucleotidess","gbM",-0.355518571855964,0,"Fxananassa"
"25","gbM","gbM",1,NA,"Fxananassa"
"26","TE.like","gbM",0.0387962634206544,8.31458405237129e-07,"Fxananassa"
"27","Unmethylated","gbM",0.250790037093054,0,"Fxananassa"
"28","Unclassified","gbM",0.132116112136156,0,"Fxananassa"
"29","Genes","TE.like",0.067382350268641,0,"Fxananassa"
"30","TEs","TE.like",0.166292841316288,0,"Fxananassa"
"31","TE.nucleotidess","TE.like",0.0878006774015881,0,"Fxananassa"
"32","gbM","TE.like",0.0387962634206544,8.31458405237129e-07,"Fxananassa"
"33","TE.like","TE.like",1,NA,"Fxananassa"
"34","Unmethylated","TE.like",-0.0596429038422551,3.46389583683049e-14,"Fxananassa"
"35","Unclassified","TE.like",-0.023243854386681,0.00316048394631685,"Fxananassa"
"36","Genes","Unmethylated",0.702164981970982,0,"Fxananassa"
"37","TEs","Unmethylated",-0.458288721407621,0,"Fxananassa"
"38","TE.nucleotidess","Unmethylated",-0.519392285278361,0,"Fxananassa"
"39","gbM","Unmethylated",0.250790037093054,0,"Fxananassa"
"40","TE.like","Unmethylated",-0.0596429038422551,3.46389583683049e-14,"Fxananassa"
"41","Unmethylated","Unmethylated",1,NA,"Fxananassa"
"42","Unclassified","Unmethylated",0.286841876869649,0,"Fxananassa"
"43","Genes","Unclassified",0.41246407010037,0,"Fxananassa"
"44","TEs","Unclassified",-0.344116590671558,0,"Fxananassa"
"45","TE.nucleotidess","Unclassified",-0.381804720421718,0,"Fxananassa"
"46","gbM","Unclassified",0.132116112136156,0,"Fxananassa"
"47","TE.like","Unclassified",-0.023243854386681,0.00316048394631685,"Fxananassa"
"48","Unmethylated","Unclassified",0.286841876869649,0,"Fxananassa"
"49","Unclassified","Unclassified",1,NA,"Fxananassa"
