"","row","column","cor","p","sps"
"1","Genes","Genes",1,NA,"Pxbretschneideri"
"2","TEs","Genes",-0.0882093845145181,0,"Pxbretschneideri"
"3","TE.nucleotidess","Genes",-0.301104180298738,0,"Pxbretschneideri"
"4","gbM","Genes",0.595446251366079,0,"Pxbretschneideri"
"5","TE.like","Genes",NA,NA,"Pxbretschneideri"
"6","Unmethylated","Genes",0.780404997615086,0,"Pxbretschneideri"
"7","Unclassified","Genes",0.773764058029952,0,"Pxbretschneideri"
"8","Genes","TEs",-0.0882093845145181,0,"Pxbretschneideri"
"9","TEs","TEs",1,NA,"Pxbretschneideri"
"10","TE.nucleotidess","TEs",0.849768417966138,0,"Pxbretschneideri"
"11","gbM","TEs",-0.0860437075964519,0,"Pxbretschneideri"
"12","TE.like","TEs",NA,NA,"Pxbretschneideri"
"13","Unmethylated","TEs",-0.0433357348656039,5.38000992555965e-06,"Pxbretschneideri"
"14","Unclassified","TEs",-0.0871127135232651,0,"Pxbretschneideri"
"15","Genes","TE.nucleotidess",-0.301104180298738,0,"Pxbretschneideri"
"16","TEs","TE.nucleotidess",0.849768417966138,0,"Pxbretschneideri"
"17","TE.nucleotidess","TE.nucleotidess",1,NA,"Pxbretschneideri"
"18","gbM","TE.nucleotidess",-0.211030427132055,0,"Pxbretschneideri"
"19","TE.like","TE.nucleotidess",NA,NA,"Pxbretschneideri"
"20","Unmethylated","TE.nucleotidess",-0.240335107637741,0,"Pxbretschneideri"
"21","Unclassified","TE.nucleotidess",-0.252381141654718,0,"Pxbretschneideri"
"22","Genes","gbM",0.595446251366079,0,"Pxbretschneideri"
"23","TEs","gbM",-0.0860437075964519,0,"Pxbretschneideri"
"24","TE.nucleotidess","gbM",-0.211030427132055,0,"Pxbretschneideri"
"25","gbM","gbM",1,NA,"Pxbretschneideri"
"26","TE.like","gbM",NA,NA,"Pxbretschneideri"
"27","Unmethylated","gbM",0.411231419334093,0,"Pxbretschneideri"
"28","Unclassified","gbM",0.488751916553306,0,"Pxbretschneideri"
"29","Genes","TE.like",NA,NA,"Pxbretschneideri"
"30","TEs","TE.like",NA,NA,"Pxbretschneideri"
"31","TE.nucleotidess","TE.like",NA,NA,"Pxbretschneideri"
"32","gbM","TE.like",NA,NA,"Pxbretschneideri"
"33","TE.like","TE.like",1,NA,"Pxbretschneideri"
"34","Unmethylated","TE.like",NA,NA,"Pxbretschneideri"
"35","Unclassified","TE.like",NA,NA,"Pxbretschneideri"
"36","Genes","Unmethylated",0.780404997615086,0,"Pxbretschneideri"
"37","TEs","Unmethylated",-0.0433357348656039,5.38000992555965e-06,"Pxbretschneideri"
"38","TE.nucleotidess","Unmethylated",-0.240335107637741,0,"Pxbretschneideri"
"39","gbM","Unmethylated",0.411231419334093,0,"Pxbretschneideri"
"40","TE.like","Unmethylated",NA,NA,"Pxbretschneideri"
"41","Unmethylated","Unmethylated",1,NA,"Pxbretschneideri"
"42","Unclassified","Unmethylated",0.540418900546092,0,"Pxbretschneideri"
"43","Genes","Unclassified",0.773764058029952,0,"Pxbretschneideri"
"44","TEs","Unclassified",-0.0871127135232651,0,"Pxbretschneideri"
"45","TE.nucleotidess","Unclassified",-0.252381141654718,0,"Pxbretschneideri"
"46","gbM","Unclassified",0.488751916553306,0,"Pxbretschneideri"
"47","TE.like","Unclassified",NA,NA,"Pxbretschneideri"
"48","Unmethylated","Unclassified",0.540418900546092,0,"Pxbretschneideri"
"49","Unclassified","Unclassified",1,NA,"Pxbretschneideri"
