"","row","column","cor","p","sps"
"1","Genes","Genes",1,NA,"Sbicolor"
"2","TEs","Genes",-0.091887249466899,0,"Sbicolor"
"3","TE.nucleotidess","Genes",-0.533726102457328,0,"Sbicolor"
"4","gbM","Genes",0.798855607879839,0,"Sbicolor"
"5","teM","Genes",0.371277951973806,0,"Sbicolor"
"6","unM","Genes",0.905127152038729,0,"Sbicolor"
"7","Unclassified","Genes",0.676049345530567,0,"Sbicolor"
"8","Genes","TEs",-0.091887249466899,0,"Sbicolor"
"9","TEs","TEs",1,NA,"Sbicolor"
"10","TE.nucleotidess","TEs",0.585883180653812,0,"Sbicolor"
"11","gbM","TEs",-0.0971509199704193,0,"Sbicolor"
"12","teM","TEs",-0.0287874178543087,0.00043940435712031,"Sbicolor"
"13","unM","TEs",-0.0702535186167359,0,"Sbicolor"
"14","Unclassified","TEs",-0.0577572587698336,1.69975145070111e-12,"Sbicolor"
"15","Genes","TE.nucleotidess",-0.533726102457328,0,"Sbicolor"
"16","TEs","TE.nucleotidess",0.585883180653812,0,"Sbicolor"
"17","TE.nucleotidess","TE.nucleotidess",1,NA,"Sbicolor"
"18","gbM","TE.nucleotidess",-0.456678093596053,0,"Sbicolor"
"19","teM","TE.nucleotidess",-0.165350730993429,0,"Sbicolor"
"20","unM","TE.nucleotidess",-0.469599993270582,0,"Sbicolor"
"21","Unclassified","TE.nucleotidess",-0.347347568981462,0,"Sbicolor"
"22","Genes","gbM",0.798855607879839,0,"Sbicolor"
"23","TEs","gbM",-0.0971509199704193,0,"Sbicolor"
"24","TE.nucleotidess","gbM",-0.456678093596053,0,"Sbicolor"
"25","gbM","gbM",1,NA,"Sbicolor"
"26","teM","gbM",0.206757731528881,0,"Sbicolor"
"27","unM","gbM",0.579974799168147,0,"Sbicolor"
"28","Unclassified","gbM",0.498271204061562,0,"Sbicolor"
"29","Genes","teM",0.371277951973806,0,"Sbicolor"
"30","TEs","teM",-0.0287874178543087,0.00043940435712031,"Sbicolor"
"31","TE.nucleotidess","teM",-0.165350730993429,0,"Sbicolor"
"32","gbM","teM",0.206757731528881,0,"Sbicolor"
"33","teM","teM",1,NA,"Sbicolor"
"34","unM","teM",0.251767904788241,0,"Sbicolor"
"35","Unclassified","teM",0.19310859691493,0,"Sbicolor"
"36","Genes","unM",0.905127152038729,0,"Sbicolor"
"37","TEs","unM",-0.0702535186167359,0,"Sbicolor"
"38","TE.nucleotidess","unM",-0.469599993270582,0,"Sbicolor"
"39","gbM","unM",0.579974799168147,0,"Sbicolor"
"40","teM","unM",0.251767904788241,0,"Sbicolor"
"41","unM","unM",1,NA,"Sbicolor"
"42","Unclassified","unM",0.494659519693073,0,"Sbicolor"
"43","Genes","Unclassified",0.676049345530567,0,"Sbicolor"
"44","TEs","Unclassified",-0.0577572587698336,1.69975145070111e-12,"Sbicolor"
"45","TE.nucleotidess","Unclassified",-0.347347568981462,0,"Sbicolor"
"46","gbM","Unclassified",0.498271204061562,0,"Sbicolor"
"47","teM","Unclassified",0.19310859691493,0,"Sbicolor"
"48","unM","Unclassified",0.494659519693073,0,"Sbicolor"
"49","Unclassified","Unclassified",1,NA,"Sbicolor"
