"","row","column","cor","p","sps"
"1","Genes","Genes",1,NA,"Brapa"
"2","TEs","Genes",0.49535448569519,0,"Brapa"
"3","TE.nucleotidess","Genes",0.431349027212227,0,"Brapa"
"4","gbM","Genes",0.145676792183711,0,"Brapa"
"5","TE.like","Genes",0.340028675637104,0,"Brapa"
"6","Unmethylated","Genes",0.984584497866029,0,"Brapa"
"7","Unclassified","Genes",0.665565190609387,0,"Brapa"
"8","Genes","TEs",0.49535448569519,0,"Brapa"
"9","TEs","TEs",1,NA,"Brapa"
"10","TE.nucleotidess","TEs",0.943791932379353,0,"Brapa"
"11","gbM","TEs",0.124666384141779,0,"Brapa"
"12","TE.like","TEs",0.483241462066687,0,"Brapa"
"13","Unmethylated","TEs",0.462522848812761,0,"Brapa"
"14","Unclassified","TEs",0.366620476496353,0,"Brapa"
"15","Genes","TE.nucleotidess",0.431349027212227,0,"Brapa"
"16","TEs","TE.nucleotidess",0.943791932379353,0,"Brapa"
"17","TE.nucleotidess","TE.nucleotidess",1,NA,"Brapa"
"18","gbM","TE.nucleotidess",0.114822579760988,0,"Brapa"
"19","TE.like","TE.nucleotidess",0.475835762521228,0,"Brapa"
"20","Unmethylated","TE.nucleotidess",0.397843812316213,0,"Brapa"
"21","Unclassified","TE.nucleotidess",0.323729898868313,0,"Brapa"
"22","Genes","gbM",0.145676792183711,0,"Brapa"
"23","TEs","gbM",0.124666384141779,0,"Brapa"
"24","TE.nucleotidess","gbM",0.114822579760988,0,"Brapa"
"25","gbM","gbM",1,NA,"Brapa"
"26","TE.like","gbM",0.115365685809252,0,"Brapa"
"27","Unmethylated","gbM",0.110295310984182,0,"Brapa"
"28","Unclassified","gbM",0.111248114092103,0,"Brapa"
"29","Genes","TE.like",0.340028675637104,0,"Brapa"
"30","TEs","TE.like",0.483241462066687,0,"Brapa"
"31","TE.nucleotidess","TE.like",0.475835762521228,0,"Brapa"
"32","gbM","TE.like",0.115365685809252,0,"Brapa"
"33","TE.like","TE.like",1,NA,"Brapa"
"34","Unmethylated","TE.like",0.230832667999281,0,"Brapa"
"35","Unclassified","TE.like",0.213775514459031,0,"Brapa"
"36","Genes","Unmethylated",0.984584497866029,0,"Brapa"
"37","TEs","Unmethylated",0.462522848812761,0,"Brapa"
"38","TE.nucleotidess","Unmethylated",0.397843812316213,0,"Brapa"
"39","gbM","Unmethylated",0.110295310984182,0,"Brapa"
"40","TE.like","Unmethylated",0.230832667999281,0,"Brapa"
"41","Unmethylated","Unmethylated",1,NA,"Brapa"
"42","Unclassified","Unmethylated",0.564749032148623,0,"Brapa"
"43","Genes","Unclassified",0.665565190609387,0,"Brapa"
"44","TEs","Unclassified",0.366620476496353,0,"Brapa"
"45","TE.nucleotidess","Unclassified",0.323729898868313,0,"Brapa"
"46","gbM","Unclassified",0.111248114092103,0,"Brapa"
"47","TE.like","Unclassified",0.213775514459031,0,"Brapa"
"48","Unmethylated","Unclassified",0.564749032148623,0,"Brapa"
"49","Unclassified","Unclassified",1,NA,"Brapa"
