"","row","column","cor","p","sps"
"1","Genes","Genes",1,NA,"Osativa"
"2","TEs","Genes",-0.186060876335072,0,"Osativa"
"3","TE.nucleotidess","Genes",-0.41766881423578,0,"Osativa"
"4","gbM","Genes",0.43775602061673,0,"Osativa"
"5","TE.like","Genes",NA,NA,"Osativa"
"6","Unmethylated","Genes",0.678566787883209,0,"Osativa"
"7","Unclassified","Genes",0.427596045646667,0,"Osativa"
"8","Genes","TEs",-0.186060876335072,0,"Osativa"
"9","TEs","TEs",1,NA,"Osativa"
"10","TE.nucleotidess","TEs",0.346462372787412,0,"Osativa"
"11","gbM","TEs",-0.214693050817733,0,"Osativa"
"12","TE.like","TEs",NA,NA,"Osativa"
"13","Unmethylated","TEs",-0.15140685690659,0,"Osativa"
"14","Unclassified","TEs",-0.136381381796073,0,"Osativa"
"15","Genes","TE.nucleotidess",-0.41766881423578,0,"Osativa"
"16","TEs","TE.nucleotidess",0.346462372787412,0,"Osativa"
"17","TE.nucleotidess","TE.nucleotidess",1,NA,"Osativa"
"18","gbM","TE.nucleotidess",-0.462200492405576,0,"Osativa"
"19","TE.like","TE.nucleotidess",NA,NA,"Osativa"
"20","Unmethylated","TE.nucleotidess",-0.414135947287355,0,"Osativa"
"21","Unclassified","TE.nucleotidess",-0.304040972895244,0,"Osativa"
"22","Genes","gbM",0.43775602061673,0,"Osativa"
"23","TEs","gbM",-0.214693050817733,0,"Osativa"
"24","TE.nucleotidess","gbM",-0.462200492405576,0,"Osativa"
"25","gbM","gbM",1,NA,"Osativa"
"26","TE.like","gbM",NA,NA,"Osativa"
"27","Unmethylated","gbM",0.150063053578149,0,"Osativa"
"28","Unclassified","gbM",0.170165646341376,0,"Osativa"
"29","Genes","TE.like",NA,NA,"Osativa"
"30","TEs","TE.like",NA,NA,"Osativa"
"31","TE.nucleotidess","TE.like",NA,NA,"Osativa"
"32","gbM","TE.like",NA,NA,"Osativa"
"33","TE.like","TE.like",1,NA,"Osativa"
"34","Unmethylated","TE.like",NA,NA,"Osativa"
"35","Unclassified","TE.like",NA,NA,"Osativa"
"36","Genes","Unmethylated",0.678566787883209,0,"Osativa"
"37","TEs","Unmethylated",-0.15140685690659,0,"Osativa"
"38","TE.nucleotidess","Unmethylated",-0.414135947287355,0,"Osativa"
"39","gbM","Unmethylated",0.150063053578149,0,"Osativa"
"40","TE.like","Unmethylated",NA,NA,"Osativa"
"41","Unmethylated","Unmethylated",1,NA,"Osativa"
"42","Unclassified","Unmethylated",0.167335228021451,0,"Osativa"
"43","Genes","Unclassified",0.427596045646667,0,"Osativa"
"44","TEs","Unclassified",-0.136381381796073,0,"Osativa"
"45","TE.nucleotidess","Unclassified",-0.304040972895244,0,"Osativa"
"46","gbM","Unclassified",0.170165646341376,0,"Osativa"
"47","TE.like","Unclassified",NA,NA,"Osativa"
"48","Unmethylated","Unclassified",0.167335228021451,0,"Osativa"
"49","Unclassified","Unclassified",1,NA,"Osativa"
