"","row","column","cor","p","sps"
"1","Genes","Genes",1,NA,"Boleracea"
"2","TEs","Genes",0.767004360603489,0,"Boleracea"
"3","TE.nucleotidess","Genes",0.694128508916773,0,"Boleracea"
"4","gbM","Genes",0.467695128607322,0,"Boleracea"
"5","TE.like","Genes",0.73348733782581,0,"Boleracea"
"6","Unmethylated","Genes",0.942800479207968,0,"Boleracea"
"7","Unclassified","Genes",0.819970260816837,0,"Boleracea"
"8","Genes","TEs",0.767004360603489,0,"Boleracea"
"9","TEs","TEs",1,NA,"Boleracea"
"10","TE.nucleotidess","TEs",0.967669893438624,0,"Boleracea"
"11","gbM","TEs",0.340265508354133,0,"Boleracea"
"12","TE.like","TEs",0.794574400475182,0,"Boleracea"
"13","Unmethylated","TEs",0.664260801579263,0,"Boleracea"
"14","Unclassified","TEs",0.567457614122382,0,"Boleracea"
"15","Genes","TE.nucleotidess",0.694128508916773,0,"Boleracea"
"16","TEs","TE.nucleotidess",0.967669893438624,0,"Boleracea"
"17","TE.nucleotidess","TE.nucleotidess",1,NA,"Boleracea"
"18","gbM","TE.nucleotidess",0.302535654237305,0,"Boleracea"
"19","TE.like","TE.nucleotidess",0.779644096721162,0,"Boleracea"
"20","Unmethylated","TE.nucleotidess",0.584133384687961,0,"Boleracea"
"21","Unclassified","TE.nucleotidess",0.49761388207714,0,"Boleracea"
"22","Genes","gbM",0.467695128607322,0,"Boleracea"
"23","TEs","gbM",0.340265508354133,0,"Boleracea"
"24","TE.nucleotidess","gbM",0.302535654237305,0,"Boleracea"
"25","gbM","gbM",1,NA,"Boleracea"
"26","TE.like","gbM",0.291738857840608,0,"Boleracea"
"27","Unmethylated","gbM",0.360332943038257,0,"Boleracea"
"28","Unclassified","gbM",0.426741684497449,0,"Boleracea"
"29","Genes","TE.like",0.73348733782581,0,"Boleracea"
"30","TEs","TE.like",0.794574400475182,0,"Boleracea"
"31","TE.nucleotidess","TE.like",0.779644096721162,0,"Boleracea"
"32","gbM","TE.like",0.291738857840608,0,"Boleracea"
"33","TE.like","TE.like",1,NA,"Boleracea"
"34","Unmethylated","TE.like",0.538468441489663,0,"Boleracea"
"35","Unclassified","TE.like",0.475408166398003,0,"Boleracea"
"36","Genes","Unmethylated",0.942800479207968,0,"Boleracea"
"37","TEs","Unmethylated",0.664260801579263,0,"Boleracea"
"38","TE.nucleotidess","Unmethylated",0.584133384687961,0,"Boleracea"
"39","gbM","Unmethylated",0.360332943038257,0,"Boleracea"
"40","TE.like","Unmethylated",0.538468441489663,0,"Boleracea"
"41","Unmethylated","Unmethylated",1,NA,"Boleracea"
"42","Unclassified","Unmethylated",0.708796119041236,0,"Boleracea"
"43","Genes","Unclassified",0.819970260816837,0,"Boleracea"
"44","TEs","Unclassified",0.567457614122382,0,"Boleracea"
"45","TE.nucleotidess","Unclassified",0.49761388207714,0,"Boleracea"
"46","gbM","Unclassified",0.426741684497449,0,"Boleracea"
"47","TE.like","Unclassified",0.475408166398003,0,"Boleracea"
"48","Unmethylated","Unclassified",0.708796119041236,0,"Boleracea"
"49","Unclassified","Unclassified",1,NA,"Boleracea"
