"","row","column","cor","p","sps"
"1","Genes","Genes",1,NA,"Esalsugineum"
"2","TEs","Genes",-0.646842434657171,0,"Esalsugineum"
"3","TE.nucleotidess","Genes",-0.63254512174337,0,"Esalsugineum"
"4","gbM","Genes",0.0222187275314283,0.102529769187356,"Esalsugineum"
"5","TE.like","Genes",0.0938145012302719,4.90807394726289e-12,"Esalsugineum"
"6","Unmethylated","Genes",0.98888007518957,0,"Esalsugineum"
"7","Unclassified","Genes",0.0866017163336378,1.82967863082695e-10,"Esalsugineum"
"8","Genes","TEs",-0.646842434657171,0,"Esalsugineum"
"9","TEs","TEs",1,NA,"Esalsugineum"
"10","TE.nucleotidess","TEs",0.914769422519279,0,"Esalsugineum"
"11","gbM","TEs",0.0105263655646769,0.439261598683292,"Esalsugineum"
"12","TE.like","TEs",0.0592116133407588,1.33454158195434e-05,"Esalsugineum"
"13","Unmethylated","TEs",-0.647850129414913,0,"Esalsugineum"
"14","Unclassified","TEs",-0.00675154130699077,0.619843840994339,"Esalsugineum"
"15","Genes","TE.nucleotidess",-0.63254512174337,0,"Esalsugineum"
"16","TEs","TE.nucleotidess",0.914769422519279,0,"Esalsugineum"
"17","TE.nucleotidess","TE.nucleotidess",1,NA,"Esalsugineum"
"18","gbM","TE.nucleotidess",0.00367263432724523,0.787278864749848,"Esalsugineum"
"19","TE.like","TE.nucleotidess",0.0330667168666258,0.0150894713631895,"Esalsugineum"
"20","Unmethylated","TE.nucleotidess",-0.630337703927114,0,"Esalsugineum"
"21","Unclassified","TE.nucleotidess",-0.0292574969188516,0.0315441593264707,"Esalsugineum"
"22","Genes","gbM",0.0222187275314283,0.102529769187356,"Esalsugineum"
"23","TEs","gbM",0.0105263655646769,0.439261598683292,"Esalsugineum"
"24","TE.nucleotidess","gbM",0.00367263432724523,0.787278864749848,"Esalsugineum"
"25","gbM","gbM",1,NA,"Esalsugineum"
"26","TE.like","gbM",0.109860971046052,4.44089209850063e-16,"Esalsugineum"
"27","Unmethylated","gbM",-0.0203607647610654,0.13461410224364,"Esalsugineum"
"28","Unclassified","gbM",0.177611780039025,0,"Esalsugineum"
"29","Genes","TE.like",0.0938145012302719,4.90807394726289e-12,"Esalsugineum"
"30","TEs","TE.like",0.0592116133407588,1.33454158195434e-05,"Esalsugineum"
"31","TE.nucleotidess","TE.like",0.0330667168666258,0.0150894713631895,"Esalsugineum"
"32","gbM","TE.like",0.109860971046052,4.44089209850063e-16,"Esalsugineum"
"33","TE.like","TE.like",1,NA,"Esalsugineum"
"34","Unmethylated","TE.like",-0.0309668584828347,0.0228567999406994,"Esalsugineum"
"35","Unclassified","TE.like",0.183334395326313,0,"Esalsugineum"
"36","Genes","Unmethylated",0.98888007518957,0,"Esalsugineum"
"37","TEs","Unmethylated",-0.647850129414913,0,"Esalsugineum"
"38","TE.nucleotidess","Unmethylated",-0.630337703927114,0,"Esalsugineum"
"39","gbM","Unmethylated",-0.0203607647610654,0.13461410224364,"Esalsugineum"
"40","TE.like","Unmethylated",-0.0309668584828347,0.0228567999406994,"Esalsugineum"
"41","Unmethylated","Unmethylated",1,NA,"Esalsugineum"
"42","Unclassified","Unmethylated",0.0153443534451689,0.259537543631331,"Esalsugineum"
"43","Genes","Unclassified",0.0866017163336378,1.82967863082695e-10,"Esalsugineum"
"44","TEs","Unclassified",-0.00675154130699077,0.619843840994339,"Esalsugineum"
"45","TE.nucleotidess","Unclassified",-0.0292574969188516,0.0315441593264707,"Esalsugineum"
"46","gbM","Unclassified",0.177611780039025,0,"Esalsugineum"
"47","TE.like","Unclassified",0.183334395326313,0,"Esalsugineum"
"48","Unmethylated","Unclassified",0.0153443534451689,0.259537543631331,"Esalsugineum"
"49","Unclassified","Unclassified",1,NA,"Esalsugineum"
