"","row","column","cor","p","sps"
"1","Genes","Genes",1,NA,"Atrichopoda"
"2","TEs","Genes",0.481253728072314,0,"Atrichopoda"
"3","TE.nucleotidess","Genes",0.145676566234129,0,"Atrichopoda"
"4","gbM","Genes",0.630755957181844,0,"Atrichopoda"
"5","TE.like","Genes",0.390827402934548,0,"Atrichopoda"
"6","Unmethylated","Genes",0.595225040800908,0,"Atrichopoda"
"7","Unclassified","Genes",0.75292867974749,0,"Atrichopoda"
"8","Genes","TEs",0.481253728072314,0,"Atrichopoda"
"9","TEs","TEs",1,NA,"Atrichopoda"
"10","TE.nucleotidess","TEs",0.835314440658433,0,"Atrichopoda"
"11","gbM","TEs",0.325018394382226,0,"Atrichopoda"
"12","TE.like","TEs",0.278766894689367,0,"Atrichopoda"
"13","Unmethylated","TEs",0.36893101195021,0,"Atrichopoda"
"14","Unclassified","TEs",0.378959653873674,0,"Atrichopoda"
"15","Genes","TE.nucleotidess",0.145676566234129,0,"Atrichopoda"
"16","TEs","TE.nucleotidess",0.835314440658433,0,"Atrichopoda"
"17","TE.nucleotidess","TE.nucleotidess",1,NA,"Atrichopoda"
"18","gbM","TE.nucleotidess",0.0504227266459367,2.73736588951579e-12,"Atrichopoda"
"19","TE.like","TE.nucleotidess",0.252837464330719,0,"Atrichopoda"
"20","Unmethylated","TE.nucleotidess",0.145415309893965,0,"Atrichopoda"
"21","Unclassified","TE.nucleotidess",0.0932468273560439,0,"Atrichopoda"
"22","Genes","gbM",0.630755957181844,0,"Atrichopoda"
"23","TEs","gbM",0.325018394382226,0,"Atrichopoda"
"24","TE.nucleotidess","gbM",0.0504227266459367,2.73736588951579e-12,"Atrichopoda"
"25","gbM","gbM",1,NA,"Atrichopoda"
"26","TE.like","gbM",0.0162882921705389,0.0240133270102454,"Atrichopoda"
"27","Unmethylated","gbM",0.216999083020508,0,"Atrichopoda"
"28","Unclassified","gbM",0.377286428692699,0,"Atrichopoda"
"29","Genes","TE.like",0.390827402934548,0,"Atrichopoda"
"30","TEs","TE.like",0.278766894689367,0,"Atrichopoda"
"31","TE.nucleotidess","TE.like",0.252837464330719,0,"Atrichopoda"
"32","gbM","TE.like",0.0162882921705389,0.0240133270102454,"Atrichopoda"
"33","TE.like","TE.like",1,NA,"Atrichopoda"
"34","Unmethylated","TE.like",0.0579833322756303,8.88178419700125e-16,"Atrichopoda"
"35","Unclassified","TE.like",0.0726676325553655,0,"Atrichopoda"
"36","Genes","Unmethylated",0.595225040800908,0,"Atrichopoda"
"37","TEs","Unmethylated",0.36893101195021,0,"Atrichopoda"
"38","TE.nucleotidess","Unmethylated",0.145415309893965,0,"Atrichopoda"
"39","gbM","Unmethylated",0.216999083020508,0,"Atrichopoda"
"40","TE.like","Unmethylated",0.0579833322756303,8.88178419700125e-16,"Atrichopoda"
"41","Unmethylated","Unmethylated",1,NA,"Atrichopoda"
"42","Unclassified","Unmethylated",0.313758415311336,0,"Atrichopoda"
"43","Genes","Unclassified",0.75292867974749,0,"Atrichopoda"
"44","TEs","Unclassified",0.378959653873674,0,"Atrichopoda"
"45","TE.nucleotidess","Unclassified",0.0932468273560439,0,"Atrichopoda"
"46","gbM","Unclassified",0.377286428692699,0,"Atrichopoda"
"47","TE.like","Unclassified",0.0726676325553655,0,"Atrichopoda"
"48","Unmethylated","Unclassified",0.313758415311336,0,"Atrichopoda"
"49","Unclassified","Unclassified",1,NA,"Atrichopoda"
