Species,Duplication,Classification,Number,PhyloOrder
Alyrata,dispersed,gbM-gbM,364,20
Alyrata,proximal,gbM-gbM,57,20
Alyrata,tandem,gbM-gbM,122,20
Alyrata,transposed,gbM-gbM,279,20
Alyrata,wgd,gbM-gbM,717,20
Alyrata,dispersed,gbM-teM,76,20
Alyrata,proximal,gbM-teM,22,20
Alyrata,tandem,gbM-teM,27,20
Alyrata,transposed,gbM-teM,38,20
Alyrata,wgd,gbM-teM,25,20
Alyrata,dispersed,gbM-Unclassified,235,20
Alyrata,proximal,gbM-Unclassified,59,20
Alyrata,tandem,gbM-Unclassified,107,20
Alyrata,transposed,gbM-Unclassified,201,20
Alyrata,wgd,gbM-Unclassified,388,20
Alyrata,dispersed,gbM-unM,311,20
Alyrata,proximal,gbM-unM,81,20
Alyrata,tandem,gbM-unM,113,20
Alyrata,transposed,gbM-unM,266,20
Alyrata,wgd,gbM-unM,303,20
Alyrata,dispersed,teM-teM,343,20
Alyrata,proximal,teM-teM,50,20
Alyrata,tandem,teM-teM,75,20
Alyrata,transposed,teM-teM,102,20
Alyrata,wgd,teM-teM,11,20
Alyrata,dispersed,teM-Unclassified,95,20
Alyrata,proximal,teM-Unclassified,21,20
Alyrata,tandem,teM-Unclassified,34,20
Alyrata,transposed,teM-Unclassified,37,20
Alyrata,wgd,teM-Unclassified,12,20
Alyrata,dispersed,Unclassified-Unclassified,135,20
Alyrata,proximal,Unclassified-Unclassified,34,20
Alyrata,tandem,Unclassified-Unclassified,81,20
Alyrata,transposed,Unclassified-Unclassified,81,20
Alyrata,wgd,Unclassified-Unclassified,211,20
Alyrata,dispersed,unM-teM,176,20
Alyrata,proximal,unM-teM,38,20
Alyrata,tandem,unM-teM,83,20
Alyrata,transposed,unM-teM,129,20
Alyrata,wgd,unM-teM,54,20
Alyrata,dispersed,unM-Unclassified,372,20
Alyrata,proximal,unM-Unclassified,144,20
Alyrata,tandem,unM-Unclassified,266,20
Alyrata,transposed,unM-Unclassified,306,20
Alyrata,wgd,unM-Unclassified,438,20
Alyrata,dispersed,unM-unM,937,20
Alyrata,proximal,unM-unM,342,20
Alyrata,tandem,unM-unM,842,20
Alyrata,transposed,unM-unM,854,20
Alyrata,wgd,unM-unM,1374,20
